size,primitive_id,primitive_name,base_width_mm,base_depth_mm,base_height_mm,overall_width_mm,overall_depth_mm,overall_height_mm,feature_width_parameter_mm,feature_height_parameter_mm,base_material,feature_material,finish,functional_status
6 × 6 inch,PRIM-0009,Lens,152.4,152.4,12.192,152.4,152.4,23.241,83.82000000000001,7.62,"Matte off-white PLA, PETG, resin, or nylon",Clear or translucent resin/acrylic,Matte base; smooth polished or gloss lens,Visual lens prototype; no optical focal specification
6 × 6 inch,PRIM-0010,Mirror,152.4,152.4,12.192,152.4,152.4,15.0876,83.82000000000001,7.62,"Matte off-white PLA, PETG, resin, or nylon","Mirrored acrylic, reflective film, or polished metal insert",Matte base and bezel; highly reflective central surface,Reflective visual surface
6 × 6 inch,PRIM-0011,Light Source,152.4,152.4,12.192,152.4,152.4,27.2034,83.82000000000001,7.62,"Matte off-white PLA, PETG, resin, or nylon",Frosted translucent resin or acrylic,Matte base; frosted translucent bulb,Diffuser prototype; electronics are not included
6 × 6 inch,PRIM-0012,Weight,152.4,152.4,12.192,152.4,152.4,62.484,83.82000000000001,7.62,"Matte off-white PLA, PETG, resin, or nylon","Metallic-finish polymer, metal-filled polymer, or fabricated metal",Matte base; brushed-metal cube,Symbolic weight unless physical ballast is separately specified
6 × 6 inch,PRIM-0014,Sensor,152.4,152.4,12.192,152.4,152.4,20.579334000000003,83.82000000000001,7.62,"Matte off-white PLA, PETG, resin, or nylon","Gloss black resin, acrylic, PLA, or PETG",Matte base and recess; polished piano-black dome,Symbolic sensor housing; electronics are not included
12 × 12 inch,PRIM-0009,Lens,304.8,304.8,24.384,304.8,304.8,46.482,167.64000000000001,15.24,"Matte off-white PLA, PETG, resin, or nylon",Clear or translucent resin/acrylic,Matte base; smooth polished or gloss lens,Visual lens prototype; no optical focal specification
12 × 12 inch,PRIM-0010,Mirror,304.8,304.8,24.384,304.8,304.8,30.1752,167.64000000000001,15.24,"Matte off-white PLA, PETG, resin, or nylon","Mirrored acrylic, reflective film, or polished metal insert",Matte base and bezel; highly reflective central surface,Reflective visual surface
12 × 12 inch,PRIM-0011,Light Source,304.8,304.8,24.384,304.8,304.8,54.4068,167.64000000000001,15.24,"Matte off-white PLA, PETG, resin, or nylon",Frosted translucent resin or acrylic,Matte base; frosted translucent bulb,Diffuser prototype; electronics are not included
12 × 12 inch,PRIM-0012,Weight,304.8,304.8,24.384,304.8,304.8,124.968,167.64000000000001,15.24,"Matte off-white PLA, PETG, resin, or nylon","Metallic-finish polymer, metal-filled polymer, or fabricated metal",Matte base; brushed-metal cube,Symbolic weight unless physical ballast is separately specified
12 × 12 inch,PRIM-0014,Sensor,304.8,304.8,24.384,304.8,304.8,41.158668000000006,167.64000000000001,15.24,"Matte off-white PLA, PETG, resin, or nylon","Gloss black resin, acrylic, PLA, or PETG",Matte base and recess; polished piano-black dome,Symbolic sensor housing; electronics are not included
